,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육기관명,과정명,교육시작일자,교육종료일자,교육일수,교육시간,교육장소,온라인/오프라인,강사명,내일배움카드 필요 유뮤,수강료 지원금,자비부담금,수강료 합계,지원혜택,,훈련목표,커리큘럼,,,,,,,,,,지원자격,,선발절차,,,,훈련시설 및 장비,,,프로젝트,,,,,취업지원서비스,,,
더조은컴퓨터아카데미 종로,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",20251128,20260710,151,1206,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Mastery: Java 언어와 Spring Boot 프레임워크를 활용하여 안정적이고 확장 가능한 백엔드 서버 구축
2.Frontend Mastery: React.js와 관련 라이브러리(Redux, Axios 등)를 활용하여 사용자 친화적인 SPA 웹 인터페이스 구현 ",기본,심화,기본,심화,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 집중할 수 있는 미취업자 "," 컴퓨터 관련 전공자, 프로그래밍 기초 학습자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
두드림컴퓨터학원,심화_생성형 AI와 AWS 클라우드를 활용한 풀스택 & 자동화 실무 개발,20251128,20260130,44,348,경기 성남시 분당구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 116,000 ", 없음 ," 1.Generative AI: ChatGPT API, LangChain 등을 활용하여 텍스트 생성, 요약, 번역 등의 기능을 갖춘 지능형 웹 서비스 개발
2.Full-Stack: Python(FastAPI/Flask) 백엔드와 React/Vue 프론트엔드를 연동하여 완전한 웹 애플리케이션 구현 ",심화,심화,심화,기본,기본,기본,심화,기본,심화,심화, 국민내일배움카드 소지자 ," 컴퓨터공학 전공자, AWS 자격증(SAA 등) 준비생, 빠르게 포트폴리오를 완성하고 싶은 구직자 ", O , O , X , X , PC , O , 없음 , 1 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(주)이젠컴퓨터아카데미안산,[기업연계 프로젝트형] 풀스텍 개발자 과정,20251128,20260605,130,1040,경기 안산시 상록구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Practical Skill: Java & Spring Boot (백엔드)와 React/Vue (프론트엔드)를 활용하여 기업 현장에서 즉시 사용 가능한 수준의 웹 개발 기술 습득
2.Problem Solving: 협약 기업에서 제시하는 실제 비즈니스 문제(RFP)를 분석하고, 이를 해결하는 소프트웨어를 기획/설계/구현 ",기본,심화,기본,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 풀타임으로 프로젝트 수행이 가능한 미취업자 "," 컴퓨터공학 전공자, 혹은 비전공자라도 기초 코딩 지식이 있고 능동적인 커뮤니케이션이 가능한 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
휴먼IT교육센터_내일배움카드교육,심화_인공지능(AI) 서비스 기반 웹 개발자 심화 프로젝트,20251128,20260109,43,340,경기 수원시 팔달구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Advanced Web: Java/Spring Boot 또는 Python/Django를 활용한 고수준의 백엔드 로직 처리 및 대용량 트래픽 고려 설계
2.AI Service Integration: 단순히 AI 이론을 배우는 게 아니라, ChatGPT API, Whisper(음성인식), Stable Diffusion 등 상용 AI 모델을 웹 서비스에 연동하여 상용화 가능한 수준의 기능 구현 ",기본,심화,기본,기본,심화,기본,없음,기본,심화,심화, 국민내일배움카드 소지자 ," 웹 개발 프로젝트 경험자, 정보처리기사 자격증 소지자 ", O , O , O , X , PC , O , 없음 , 1 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
인천더조은컴퓨터아트학원,MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,20251201,20260603,125,1000,인천 부평구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.MSA Backend: Java & Spring Boot를 기반으로 거대한 서버를 여러 개의 서비스(회원, 주문, 결제 등)로 쪼개는 마이크로서비스 아키텍처 설계 및 구축
2.Full-Stack: 플러터를 웹(Web)으로도 빌드하여 웹/앱을 동시에 서비스하는 기술 습득 ",기본,심화,기본,심화,기본,기본,심화,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 고강도 훈련을 견딜 수 있는 미취업자 "," 컴퓨터공학 전공자, 자바 프로그래밍 기초 학습자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
한국ICT인재개발원,클라우드기반 AI 대화형 서비스 웹개발자 양성,20251201,20260611,132,1056,서울 마포구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Web Full-Stack: Java & Spring Boot(백엔드)와 React/Vue(프론트엔드)를 활용한 웹 애플리케이션 개발
2.Cloud Platform: AWS(Amazon Web Services) 클라우드 환경에서 대화형 AI 서비스를 배포하고 운영하는 능력 함양 ",심화,심화,심화,기본,기본,기본,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 성실히 훈련에 참여할 미취업자 "," 컴퓨터공학/인공지능/언어학 관련 전공자. ""사람과 대화하는 서비스를 만들어보고 싶은"" 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(재)대덕인재개발원,전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,20251201,20260706,146,1168,대전 중구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.e-Gov Framework: Java & Spring 기반의 전자정부 표준 프레임워크를 마스터하여 공공 프로젝트 개발 역량 확보
2.Modern Frontend: 기존의 JSP 방식뿐만 아니라, React.js를 연동하여 현대적인 UI/UX를 갖춘 웹 애플리케이션 개발 ",기본,심화,기본,기본,기본,기본,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 대전 중구(대흥동)로 통학하며 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학/정보통신 관련 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아카데미 부산,"(롯데)기업맞춤형 프로젝트 기반 백엔드 자바, 스프링 웹 SW개발자 양성과정",20251201,20260601,125,1000,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java & Spring: 자바 언어와 스프링 프레임워크를 심도 있게 학습하여 기업형 웹 애플리케이션(Enterprise Application) 개발 능력 함양
2.Business Logic: 롯데 계열사(유통, 물류, 서비스 등)의 비즈니스 프로세스를 이해하고 이를 소프트웨어로 구현하는 능력 배양 ",기본,심화,기본,없음,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 부산 지역에서 통학하며 훈련에 집중할 수 있는 미취업자 "," 컴퓨터공학/정보통신 전공자, 정보처리기사 자격증 소지자. 롯데 그룹사 및 협력사 취업을 희망하는 자. 비전공자라도 개발에 대한 열정과 성실함을 갖춘 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,(기업연계)VR을 활용한 메타버스 3D 가상콘텐츠 제작자 양성,20251201,20260525,120,960,서울 관악구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.3D Modeling: Blender 또는 3ds Max를 활용하여 메타버스 공간, 아바타, 아이템 등 고퀄리티 3D 에셋을 제작하는 기술 습득
2.VR Contents: Oculus Quest 등 HMD 기기를 활용한 VR 체험형 콘텐츠 및 인터랙티브 앱 개발 ",기본,없음,없음,없음,심화,없음,심화,기본,없음,심화," 국민내일배움카드 발급 가능자, 3D 콘텐츠 제작 및 VR 분야 취업 희망자 "," 디자인/영상/게임 관련 전공자, 3D 툴(Blender, Max 등) 기초 사용 가능자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
메가스터디아이티(IT)아카데미학원,"WEB3(웹3)전자지갑 풀스텍(JAVA,React) 개발자",20251201,20260609,129,1028,서울 강남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Backend: Spring Boot를 활용하여 안전하고 확장성 있는 핀테크 서비스용 백엔드 서버 구축
2.Web3 Integration: Web3.js / Ethers.js 라이브러리를 활용하여 프론트엔드와 블록체인 네트워크 간의 통신 구현 ",기본,심화,기본,심화,심화,심화,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 고난도 기술 학습에 전념할 수 있는 미취업자 "," 컴퓨터공학/정보보호학/수학 관련 전공자. 핀테크, 보안, 블록체인 산업에 관심이 많고 논리적 사고력이 뛰어난 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
인천더조은컴퓨터아트학원,"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",20251201,20260612,133,1060,인천 부평구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend: Java & Spring Boot를 활용하여 안정적인 서버를 구축하고 데이터베이스(Oracle/MySQL)를 관리
2.Mobile App: 구글의 Flutter 프레임워크를 활용하여 안드로이드/iOS에서 동작하는 크로스 플랫폼 앱 개발 ",기본,심화,기본,기본,기본,기본,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련을 완주할 수 있는 미취업자 "," 컴퓨터공학 전공자, 혹은 비전공자라도 IT 기초 학습 경험이 있는 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,챗GPT 생성형 AI를 활용한 반응형 웹콘텐츠(영상제작&코딩) 개발기획자 양성,20251201,20260527,120,960,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Web Planning: 웹사이트 구축을 위한 요구사항 분석, 정보구조(IA) 설계, 스토리보드(SB) 작성 등 기획 실무 마스터
2.Web Publishing: HTML5, CSS3, JavaScript를 활용하여 기획/디자인된 내용을 반응형 웹사이트로 직접 구현 ",기본,기본,없음,기본,없음,심화,심화,없음,기본,심화," 국민내일배움카드 발급 가능자, 콘텐츠 제작과 기획에 흥미가 있는 미취업자 ", 디자인/영상/미디어 관련 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
휴먼IT교육센터_내일배움카드교육,"인공지능(AI),빅데이터 활용 웹솔루션 개발자 양성(Python, Java)",20251201,20260529,122,976,경기 수원시 팔달구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Web Development: Java & Spring Boot를 기반으로 안정적이고 확장성 있는 웹 애플리케이션 서버(Back-end) 구축 기술 습득
2.AI Application: 머신러닝/딥러닝 기초 알고리즘을 이해하고, 이를 웹 서비스에 적용하여 지능형 웹 솔루션 구현 ",기본,심화,기본,기본,기본,기본,없음,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 성실히 참여할 수 있는 미취업자 ", 컴퓨터공학/통계학 관련 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
한국전파진흥협회,LIG넥스원 The SSEN 임베디드SW 스쿨,20251201,20260610,126,1000,서울 금천구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Defense Embedded: 무기 체계 개발에 필수적인 C/C++ (Modern C++) 심화 학습 및 코딩 표준 준수 능력 함양
2.System Integration: 레이다, 유도무기, 통신 장비 등의 임베디드 시스템 SW 설계 및 구현 능력 확보 ",심화,기본,기본,심화,없음,없음,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 서울(가산/강남 등 지정 교육장) 통학이 가능한 미취업자 ", 전기/전자/컴퓨터/통신공학 전공자 , O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아카데미 부산,"(기업연계 프로젝트형)메타버스 크리에이터(C#, Unity3D)양성과정",20251201,20260602,125,1000,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Unity Engine Mastery: Unity3D 엔진과 C# 스크립팅을 마스터하여 3D 가상 공간 및 콘텐츠 구현 능력 습득
2.Metaverse Contents: 제페토(ZEPETO) 등의 플랫폼 맵 제작뿐만 아니라, 자체적인 **메타버스 월드(World)**를 구축하고 아바타 시스템을 구현 ",심화,기본,기본,기본,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 몰입할 수 있는 미취업자 "," 게임공학/멀티미디어 관련 전공자. C언어 등 프로그래밍 기초가 있거나, Unity 엔진을 다뤄본 경험이 있는 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
노원그린컴퓨터아카데미,AWS기반 스마트오더(Rabbit MQ_양방향 메세징시스템)자바풀스택 웹개발자 양성과정,20251201,20260709,150,1200,서울 노원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Real-time System: RabbitMQ와 WebSocket을 활용하여 주문 접수 시 실시간으로 주방과 고객에게 알림이 가는 양방향 통신 시스템 구현
2.Java Backend: Spring Boot를 기반으로 안정적인 주문 처리 서버를 구축하고, 대량의 트래픽을 효율적으로 처리하는 비동기 처리 기술 습득 ",기본,심화,기본,기본,심화,기본,없음,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 전념할 수 있는 미취업자 "," 컴퓨터공학 전공자, 정보처리 관련 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
휴먼IT교육센터_국비지원무료교육,생성형AI 모델 개발 및 빅데이터분석 전문가(LLM & LMM 활용),20251201,20260526,119,950,서울 영등포구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Generative AI: ChatGPT, LLaMA 등 LLM(거대언어모델)과 Stable Diffusion 등 LMM(대형멀티모달모델)을 활용한 AI 서비스 모델링 기술 습득
2.AI Modeling: 머신러닝(Scikit-learn) 및 딥러닝(TensorFlow/PyTorch) 알고리즘을 활용하여 예측 및 분류 모델 구현 ",기본,기본,심화,기본,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 풀타임(주 5일, 일 8시간) 학습이 가능한 미취업자 "," 컴퓨터공학/통계학/수학 관련 전공자, Python 프로그래밍 기초 학습자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
연희직업전문학교(주),"AI로 만드는 스마트 영상(영화/애니메이션/비디오북) 콘텐츠 제작 엔지니어링 과정(미드저니,Comfy-UI,Runway)",20251201,20260408,87,694,인천 서구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Advanced Generation: ComfyUI를 활용하여 캐릭터의 포즈, 의상, 얼굴을 일관성 있게 유지하는 고난도 이미지 생성 기술 습득
2.AI Video: Runway Gen-2 / Pika 등을 활용해 정지된 이미지를 자연스러운 영상으로 변환하고(Image-to-Video), 카메라 무빙을 제어 ",기본,기본,심화,없음,기본,심화,기본,기본,심화,심화," 국민내일배움카드 발급 가능자, 새로운 AI 툴 학습에 거부감이 없는 구직자 "," 영상 편집 기초가 있는 자, 디자인/예술 관련 전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
인천더조은컴퓨터아트학원,생성형AI 활용(인공지능)머신러닝 · 딥러닝 웹(앱)개발 과정,20251201,20260526,120,960,인천 부평구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.AI Modeling: Python, TensorFlow, PyTorch를 활용하여 데이터를 학습시키고 예측/분류하는 머신러닝 및 딥러닝 모델 구현
2.Generative AI: ChatGPT API나 Stable Diffusion 같은 생성형 AI 기술을 활용하여, 텍스트나 이미지를 생성하는 기능 구현 ",심화,심화,심화,기본,기본,기본,심화,기본,심화,기본," 국민내일배움카드 발급 가능자, 6개월 이상 장기 훈련에 성실히 참여할 수 있는 미취업자 ", 컴퓨터공학/통계학/수학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
연세IT미래교육원,AI를 활용한 클라우드 보안엔지니어(화이트해커) 양성,20251201,20260707,150,1200,경기 수원시 장안구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.White Hat Hacking: 웹/시스템/네트워크의 취약점을 찾아내고 공격 시나리오를 시뮬레이션하는 모의해킹(Penetration Testing) 기술 습득.
2.Cloud Security: AWS 등 클라우드 인프라를 구축하고, WAF(웹방화벽)나 IAM(접근제어) 등을 설정하여 클라우드 보안 아키텍처를 설계 ",심화,심화,기본,기본,심화,심화,심화,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 고난도 기술 교육을 이수할 수 있는 미취업자. "," 정보보호학과/컴퓨터공학과 전공자, 정보보안기사/네트워크관리사 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
엠비씨(MBC)아카데미컴퓨터학원 천호점,(기업연계형) AI와 유니티엔진을 활용한 게임제작 부트캠프,20251201,20260820,180,1440,서울 강동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Unity Master: C# 언어와 Unity 3D 엔진을 마스터하여 상용화 가능한 수준의 게임 클라이언트 개발
2.AI Integration: ChatGPT(기획/스크립트), Midjourney/Stable Diffusion(원화/텍스처), AI Voice 등을 활용하여 1인 개발자나 소규모 팀의 생산성을 극대화하는 기술 습득 ",심화,심화,심화,기본,기본,기본,기본,기본,기본,기본," 국민내일배움카드 발급 가능자, 6개월간 게임 개발에 몰입할 수 있는 미취업자 "," 게임공학/컴퓨터공학 전공자, 프로그래밍 기초가 있는 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
역삼 그린컴퓨터아카데미,"생성형AI를 활용한 커머스웹(PHP, Laravel, Docker, AWS)개발자 과정",20251201,20260515,113,900,서울 강남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Modern PHP: 전 세계 웹사이트의 상당수를 차지하는 PHP 언어와 가장 인기 있는 프레임워크인 Laravel(라라벨)을 마스터하여 생산성 높은 웹 개발 수행
2.E-Commerce: 상품 관리, 장바구니, 결제(PG 연동), 배송 추적 등 실제 쇼핑몰(커머스)의 핵심 기능을 완벽하게 구현 ",기본,심화,기본,기본,기본,기본,없음,심화,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 전념할 수 있는 구직자 ", 비전공자 강력 추천 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
휴먼IT교육센터_내일배움카드교육,스마트팩토리(MES)기반 자바(JAVA) 풀스택 개발자 과정,20251201,20260522,119,950,경기 수원시 팔달구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Enterprise: 엔터프라이즈급 시스템 구축을 위한 Java & Spring Boot 심화 기술 습득
2.MES Domain: 생산 계획, 자재 관리(BOM), 공정 관리, 품질 관리 등 제조업 비즈니스 로직을 이해하고 시스템화하는 능력 함양 ",기본,심화,심화,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 집중할 수 있는 구직자 "," 컴퓨터공학 전공자뿐만 아니라 산업공학, 기계공학, 전자공학 등 제조업 관련 전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
하이미디어IT인재개발학원,자바와 생성형AI를 활용한 차세대 CRM플랫폼 개발,20251201,20260525,120,960,경기 성남시 중원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Enterprise Java: Spring Boot와 JPA를 활용하여 복잡한 기업 데이터를 처리하는 고성능 백엔드 구축
2.CRM Domain: 고객 관리, 영업 기회 관리, 상담 이력 관리 등 실제 기업의 업무 프로세스를 이해하고 시스템화하는 능력 습득 ",기본,심화,기본,기본,심화,기본,없음,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 참여 가능한 구직자 ", 컴퓨터/경영정보 관련 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,기업주도형 유니티를 활용한 게임개발자(VR) 양성과정,20251201,20260615,132,1056,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Unity Master: C# 언어와 Unity 3D 엔진을 활용하여 상용화 수준의 게임 클라이언트를 개발
2.VR Specialization: Oculus(Meta) Quest 등 HMD 기기에 최적화된 VR 인터랙션(잡기, 던지기, 이동) 구현 및 최적화 기술 습득 ",심화,기본,기본,기본,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 몰입 학습이 가능한 미취업자 ", 게임공학/컴퓨터공학 전공자. C언어 기초가 있는 비전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
(주)휴먼교육센터,JAVA(자바)활용 스마트팩토리 MES 웹 솔루션 개발자,20251201,20260526,119,950,충남 천안시 동남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Enterprise: 엔터프라이즈급 시스템 구축을 위한 Java & Spring Boot 심화 기술 습득
2.MES Domain: 생산 계획, 자재 관리(BOM), 공정 관리, 품질 관리 등 제조업 비즈니스 로직을 이해하고 시스템화하는 능력 함양 ",기본,심화,심화,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 집중할 수 있는 구직자 "," 컴퓨터공학 전공자뿐만 아니라 산업공학, 기계공학, 전자공학 등 제조업 관련 전공자도 매우 선호 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
하이미디어IT인재개발학원,자바 풀스택&AI를 활용한 개발자양성 취업과정(APS플랫폼 개발),20251201,20260525,120,960,경기 성남시 중원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Full-Stack: Java & Spring Boot(백엔드)와 React/Vue(프론트엔드)를 활용하여 기업용 웹 애플리케이션 구축
2.APS Domain: 제조/물류 현장의 한정된 자원(기계, 사람, 시간)을 효율적으로 배분하는 스케줄링 알고리즘 및 시스템 로직 구현 ",기본,심화,심화,기본,기본,기본,없음,기본,심화,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 집중할 수 있는 구직자 "," 컴퓨터공학 전공자뿐만 아니라 산업공학(IE), 경영과학, 수학/통계학 전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
아이티윌 부산교육센터,"심화_파이썬,React,Node.js기반 실시간 빅데이터분석 프로젝트 부트캠프",20251202,20260203,44,348,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 116,000 ", 없음 ," 1.Data Analysis: Python을 활용하여 대용량 데이터를 수집(Crawling), 정제, 분석하고 AI 모델링 수행
2.Real-time Server: Node.js의 비동기 처리와 WebSocket 등을 활용하여 실시간 데이터 전송 서버 구축 ",기본,기본,심화,기본,심화,기본,기본,기본,기본,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학/통계학 전공자, 웹 개발 경험이 있거나 데이터 분석 기초 과정을 수료한 자 ", O , O , O , X , PC , O , 없음 , 2 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
아시아경제 교육센터,융합_데이터 기반 차세대 디지털 헬스케어 AI 솔루션,20251202,20260528,113,900,서울 중구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Medical Data: 심평원/건보공단 공공데이터 및 MIMIC-III(중환자 데이터) 등을 활용하여 **의료 빅데이터를 수집, 정제, 가명화(비식별화)**하는 기술 습득
2.Service Development: 개발된 AI 모델을 의사나 환자가 사용할 수 있도록 웹/앱 형태의 디지털 헬스케어 솔루션으로 제작 ",심화,심화,심화,심화,기본,기본,기본,기본,기본,기본," 국민내일배움카드 발급 가능자, 6개월간 풀타임 학습 가능한 미취업자 ", 생명공학/간호학/보건행정학 등 바이오 메디컬 관련 전공자(도메인 지식 보유). 혹은 컴퓨터공학 전공자 중 헬스케어 분야 진출 희망자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
메가스터디아이티(IT)아카데미학원,융합_데이터분석 기술을 활용한 디지털콘텐츠&마케팅 기획,20251202,20260609,128,1024,서울 강남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Data Literacy: Python(Pandas, Matplotlib)과 엑셀을 활용하여 시장 데이터, 경쟁사 데이터, 고객 행동 데이터를 수집하고 시각화하여 인사이트 도출
2.Digital Marketing: SNS(Instagram/Facebook), 검색광고(SA), 배너광고(DA) 등 채널별 마케팅 전략을 수립하고 집행 ",기본,기본,없음,기본,없음,심화,기본,없음,기본,심화," 국민내일배움카드 발급 가능자, 마케팅/기획 분야 취업 희망자 ", 경영/경제/통계/광고홍보 관련 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
하이미디어아카데미인재개발원,"[프로젝트기반]자바 풀스택 개발자(React.js, Springboot, CI/CD 활용)",20251202,20260527,120,960,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Modern Java: Java & Spring Boot를 활용하여 RESTful API 서버를 구축하고, JPA(Hibernate)로 데이터베이스를 효율적으로 관리
2.React Frontend: React.js와 Redux/Recoil 등을 활용하여 사용자 경험(UX)이 뛰어난 SPA(Single Page Application) 개발 ",기본,심화,기본,심화,기본,기본,기본,심화,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 전념할 수 있는 구직자 ", 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
이젠아카데미DX교육센터,"백엔드 웹개발자 부트캠프(자바,파이썬,AI챗봇)",20251202,20260428,100,900,서울 서초구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Backend: Spring Boot를 활용하여 대규모 트래픽 처리가 가능한 안정적인 웹 애플리케이션 서버 구축
2.Chatbot Service: 사용자의 질문 의도를 파악하고 자동으로 응답하는 지능형 챗봇 서비스 구현 ",기본,심화,기본,기본,심화,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 전념할 수 있는 구직자 "," 컴퓨터공학 전공자. ""백엔드 로직 구현에 흥미가 있고, AI 기술을 접목해보고 싶은"" 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
